Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Chromosome,WikiPathways,Gene Symbol,KEGG Pathways,Reactome Pathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F1: 126, Sample","Abundances (Normalized): F1: 127N, Sample","Abundances (Normalized): F1: 127C, Sample","Abundances (Normalized): F1: 128N, Sample","Abundances (Normalized): F1: 128C, Sample","Abundances (Normalized): F1: 129N, Sample","Abundances (Normalized): F1: 129C, Sample","Abundances (Normalized): F1: 130N, Sample","Abundances (Normalized): F1: 130C, Sample","Abundances (Normalized): F1: 131, Sample","Abundance: F1: 126, Sample","Abundance: F1: 127N, Sample","Abundance: F1: 127C, Sample","Abundance: F1: 128N, Sample","Abundance: F1: 128C, Sample","Abundance: F1: 129N, Sample","Abundance: F1: 129C, Sample","Abundance: F1: 130N, Sample","Abundance: F1: 130C, Sample","Abundance: F1: 131, Sample","Found in Sample: [S1] F1: 126, Sample","Found in Sample: [S3] F1: 127C, Sample","Found in Sample: [S2] F1: 127N, Sample","Found in Sample: [S5] F1: 128C, Sample","Found in Sample: [S4] F1: 128N, Sample","Found in Sample: [S7] F1: 129C, Sample","Found in Sample: [S6] F1: 129N, Sample","Found in Sample: [S9] F1: 130C, Sample","Found in Sample: [S8] F1: 130N, Sample","Found in Sample: [S10] F1: 131, Sample",# Protein Groups,Modifications
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,0,FALSE,932.608,56,128,338,127,2511,273.3,6.44,1204.65,128,cell differentiation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;Golgi;membrane;mitochondrion,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00106, Pf00107, Pf00108, Pf00109, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf13602, Pf14765",2194,ENSG00000169710.8,17,AMP-activated Protein Kinase (AMPK) Signaling; Sterol Regulatory Element-Binding Proteins (SREBP) signalling; SREBF and miR33 in cholesterol and lipid homeostasis; Liver X Receptor Pathway; Fatty Acid Biosynthesis; Angiopoietin Like Protein 8 Regulatory Pathway,FASN,Insulin signaling pathway; Metabolic pathways; Fatty acid biosynthesis; Fatty acid metabolism; AMPK signaling pathway,ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis; Vitamin B5 (pantothenate) metabolism; Activation of gene expression by SREBF (SREBP),23,1,67798.3,73594.9,74382.4,70056.4,54208.6,38317.8,28224.3,32219.3,33111.7,34910.9,67798.3,66534.2,67534.5,48882.1,43110.4,15256.7,9332.7,6940.6,3038.6,3259.9,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,FALSE,788.551,58,125,225,101,1960,226.4,5.6,840.71,125,cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity,"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094",4627,ENSG00000100345.20,22,Primary Focal Segmental Glomerulosclerosis FSGS; VEGFA-VEGFR2 Signaling Pathway,MYH9,Tight junction; Regulation of actin cytoskeleton; Salmonella infection,RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate CIT; RHO GTPases activate PKNs,23,29,44486.9,47626.7,46290.3,56939.4,40836.7,28495,21949.6,24398.7,22722.5,22002.5,44486.9,43057.4,42028.6,39729.6,32476.2,11345.6,7257.9,5255.9,2085.2,2054.5,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,FALSE,761.386,69,85,479,34,724,83.2,5.03,1656.08,85,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen,enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",3326,ENSG00000096384.19,6,NRF2 pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,HSP90AB1,Estrogen signaling pathway; Pathways in cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; Progesterone-mediated oocyte maturation; PI3K-Akt signaling pathway; Prostate cancer; NOD-like receptor signaling pathway,Sema3A PAK dependent Axon repulsion; HSF1 activation; Attenuation phase; Neutrophil degranulation; Aryl hydrocarbon receptor signalling; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The NLRP3 inflammasome; HSP90 chaperone cycle for steroid hormone receptors (SHR); The role of GTSE1 in G2/M progression after G2 checkpoint,42,70,97919.3,104883.9,110468.4,110668.3,106206.9,98457.1,75932.1,79479.6,47986.9,49979.1,97919.3,94821.5,100298.3,77219.1,84463.1,39201.8,25107.9,17121.3,4403.7,4666.9,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,FALSE,714.704,67,76,402,43,732,84.6,5.02,1377.81,76,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",3320,ENSG00000080824.18,14,Nucleotide-binding Oligomerization Domain (NOD) pathway; TNF alpha Signaling Pathway; Corticotropin-releasing hormone signaling pathway; Aryl Hydrocarbon Receptor; EBV LMP1 signaling; Aryl Hydrocarbon Receptor Pathway; Constitutive Androstane Receptor Pathway; NRF2 pathway; VEGFA-VEGFR2 Signaling Pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,HSP90AA1,Progesterone-mediated oocyte maturation; Estrogen signaling pathway; Pathways in cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; PI3K-Akt signaling pathway; Prostate cancer; NOD-like receptor signaling pathway,"Sema3A PAK dependent Axon repulsion; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Loss of Nlp from mitotic centrosomes; Scavenging by Class F Receptors; Neutrophil degranulation; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); vRNP Assembly; Downregulation of ERBB2 signaling; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Constitutive Signaling by EGFRvIII; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; Recruitment of mitotic centrosome proteins and complexes; HSF1 activation; Attenuation phase; eNOS activation; Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants; VEGFR2 mediated vascular permeability; PIWI-interacting RNA (piRNA) biogenesis; Interleukin-4 and 13 signaling",86,7,33923.8,37373.9,40625.9,39136.3,37349,36096.2,29928,30361.5,14275.2,13324.2,33923.8,33788.2,36885.7,27307.5,29702.5,14372.1,9896.1,6540.4,1310,1244.2,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,FALSE,705.424,72,82,256,49,911,104.8,5.44,971.57,82,cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen,DNA binding;metal ion binding;protein binding;RNA binding,"Pf00307, Pf00435, Pf08726, Pf11971, Pf13499",81,ENSG00000282844.1; ENSG00000130402.11,19; CHR_HG26_PATCH,Arrhythmogenic Right Ventricular Cardiomyopathy; Primary Focal Segmental Glomerulosclerosis FSGS; Striated Muscle Contraction,ACTN4,Tight junction; Viral carcinogenesis; Systemic lupus erythematosus; Adherens junction; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Focal adhesion; Amoebiasis,Platelet degranulation ; Nephrin family interactions,18,45,39720.4,46451.6,45796.2,48088.4,54820.2,64169.6,83696.5,91771.3,21501.1,30556.7,39720.4,41995.1,41580,33553.9,43596.8,25549.9,27675.3,19769.1,1973.1,2853.3,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,FALSE,658.922,97,65,345,59,434,47.1,7.39,1293.28,65,metabolic process;regulation of biological process;response to stimulus,cell surface;cytoplasm;cytosol;membrane;nucleus,catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding,"Pf00113, Pf03952, Pf13378",2023,ENSG00000074800.13,1,Glycolysis and Gluconeogenesis,ENO1,Metabolic pathways; Glycolysis / Gluconeogenesis; RNA degradation; HIF-1 signaling pathway; Biosynthesis of amino acids; Carbon metabolism,Gluconeogenesis; Glycolysis,12,8,57007.5,68649.1,66859.9,71368.8,67107.4,91398.4,119586.5,133161.5,172803.9,67580.7,57007.5,62063,60704.5,49797.8,53368.4,36391.3,39542.9,28685.2,15857.9,6310.5,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,FALSE,633.034,52,109,186,100,2647,280.6,6.06,692.92,109,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,protein binding;RNA binding;signal transducer activity,"Pf00307, Pf00630",2316,ENSG00000196924.14,X,Androgen receptor signaling pathway; Prolactin Signaling Pathway; Focal Adhesion; Hypothesized Pathways in Pathogenesis of Cardiovascular Disease; MAPK Signaling Pathway; IL-4 Signaling Pathway,FLNA,MAPK signaling pathway; Salmonella infection; Focal adhesion; Proteoglycans in cancer,Platelet degranulation ; RHO GTPases activate PAKs; Cell-extracellular matrix interactions; GP1b-IX-V activation signalling,22,9,33093.9,36956,35698.2,40269.3,35125.7,34643.6,25655.5,26298.7,19934,20174.3,33093.9,33410.4,32411.7,28098,27934.4,13793.7,8483.3,5665.2,1829.3,1883.8,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,FALSE,623.393,71,61,298,30,646,70.9,5.52,1056.07,61,cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen;spliceosomal complex,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00012, Pf02463, Pf06723",3312,ENSG00000109971.13,11,Parkin-Ubiquitin Proteasomal System pathway; MAPK Signaling Pathway; Exercise-induced Circadian Regulation,HSPA8,Toxoplasmosis; Spliceosome; Endocytosis; Antigen processing and presentation; Influenza A; Protein processing in endoplasmic reticulum; Epstein-Barr virus infection; Legionellosis; Measles; MAPK signaling pathway; Longevity regulating pathway - multiple species; Estrogen signaling pathway,"Protein methylation; Clathrin-mediated endocytosis; Regulation of HSF1-mediated heat shock response; Golgi Associated Vesicle Biogenesis; GABA synthesis, release, reuptake and degradation; Lysosome Vesicle Biogenesis; CHL1 interactions; AUF1 (hnRNP D0) binds and destabilizes mRNA; Attenuation phase; Neutrophil degranulation; mRNA Splicing - Major Pathway; Interleukin-4 and 13 signaling; HSP90 chaperone cycle for steroid hormone receptors (SHR)",52,55,65589.4,74099,75589.6,79380.3,71562.8,61625,52935.9,48172.3,26323.8,25567.5,65589.4,66990,68630.6,55387.9,56911.6,24536.7,17503.9,10377.1,2415.7,2387.4,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0,FALSE,606.526,54,107,177,81,1976,228.9,5.54,636.48,107,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;transport,cytoplasm;cytosol;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity,"Pf00063, Pf00769, Pf01496, Pf01576, Pf02736, Pf04111, Pf05622, Pf05911, Pf06637, Pf07888, Pf09726, Pf12128, Pf13094, Pf13514",4628,ENSG00000133026.12,17,Regulation of Actin Cytoskeleton,MYH10,Tight junction; Salmonella infection; Regulation of actin cytoskeleton,RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate CIT; RHO GTPases activate PKNs,18,8,29295.6,29330.8,28097.5,34024.8,28947.5,20845.8,22087,23140.9,16948.3,20869,29295.6,26516.8,25510.8,23740.9,23021.1,8300,7303.4,4984.9,1555.3,1948.7,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,0,FALSE,605.365,37,145,213,145,4128,468.8,7.12,672.6,145,cell death;cell differentiation;cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus,cytosol;membrane;nucleus,catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding,"Pf00454, Pf02259, Pf02260, Pf08163",5591,ENSG00000253729.7,8,miRNA Regulation of DNA Damage Response; Cell Cycle; Retinoblastoma (RB) in Cancer; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Pathways Affected in Adenoid Cystic Carcinoma; ATM Signaling Network in Development and Disease; Non-homologous end joining; DNA Damage Response,PRKDC,Non-homologous end-joining; Cell cycle,Nonhomologous End-Joining (NHEJ); E3 ubiquitin ligases ubiquitinate target proteins; IRF3-mediated induction of type I IFN,22,0,58341.6,47236.6,50596.1,26739.8,30055.7,22604.4,19246.4,21851.6,26377.9,26890.5,58341.6,42704.8,45938.1,18657.8,23902.3,9000.2,6364.1,4707.2,2420.6,2511,High,High,High,High,High,High,High,High,High,High,1,
