Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Chromosome,WikiPathways,Gene Symbol,KEGG Pathways,Reactome Pathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F1: 126, Sample","Abundances (Normalized): F1: 127N, Sample","Abundances (Normalized): F1: 127C, Sample","Abundances (Normalized): F1: 128N, Sample","Abundances (Normalized): F1: 128C, Sample","Abundances (Normalized): F1: 129N, Sample","Abundances (Normalized): F1: 129C, Sample","Abundances (Normalized): F1: 130N, Sample","Abundances (Normalized): F1: 130C, Sample","Abundances (Normalized): F1: 131, Sample","Abundance: F1: 126, Sample","Abundance: F1: 127N, Sample","Abundance: F1: 127C, Sample","Abundance: F1: 128N, Sample","Abundance: F1: 128C, Sample","Abundance: F1: 129N, Sample","Abundance: F1: 129C, Sample","Abundance: F1: 130N, Sample","Abundance: F1: 130C, Sample","Abundance: F1: 131, Sample","Found in Sample: [S1] F1: 126, Sample","Found in Sample: [S3] F1: 127C, Sample","Found in Sample: [S2] F1: 127N, Sample","Found in Sample: [S5] F1: 128C, Sample","Found in Sample: [S4] F1: 128N, Sample","Found in Sample: [S7] F1: 129C, Sample","Found in Sample: [S6] F1: 129N, Sample","Found in Sample: [S9] F1: 130C, Sample","Found in Sample: [S8] F1: 130N, Sample","Found in Sample: [S10] F1: 131, Sample",# Protein Groups,Modifications
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,0,FALSE,986.21,59,129,363,129,2511,273.3,6.44,1293.65,129,cell differentiation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;Golgi;membrane;mitochondrion,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00106, Pf00107, Pf00108, Pf00109, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf13602, Pf14765",2194,ENSG00000169710.8,17,AMP-activated Protein Kinase (AMPK) Signaling; Sterol Regulatory Element-Binding Proteins (SREBP) signalling; SREBF and miR33 in cholesterol and lipid homeostasis; Liver X Receptor Pathway; Fatty Acid Biosynthesis; Angiopoietin Like Protein 8 Regulatory Pathway,FASN,AMPK signaling pathway; Fatty acid metabolism; Insulin signaling pathway; Metabolic pathways; Fatty acid biosynthesis,ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis; Vitamin B5 (pantothenate) metabolism; Activation of gene expression by SREBF (SREBP),23,0,62865.2,70901.4,76463.1,64468.2,53336.4,35122.5,34773.2,35108.9,31889.5,33255.7,59904.9,70901.4,66744.4,56023.4,34287.5,12948.5,10041.4,8740.3,5357.7,4932.6,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,0,FALSE,918.013,58,182,351,182,2871,331.6,6.81,1124.27,182,cell death;cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;membrane;nucleus,catalytic activity;motor activity;protein binding;RNA binding;structural molecule activity,"Pf00038, Pf00681, Pf01540, Pf01576, Pf02463, Pf04111, Pf04156, Pf05483, Pf05557, Pf05622, Pf06008, Pf06160, Pf06637, Pf07888, Pf10174, Pf12072, Pf12128, Pf13166",1832,ENSG00000096696.13,6,Arrhythmogenic Right Ventricular Cardiomyopathy; Lung fibrosis,DSP,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Apoptotic cleavage of cell adhesion  proteins; Formation of the cornified envelope; Neutrophil degranulation,14,0,140894,26455.3,20737.8,112680.3,27581.6,23264.6,32560.9,50933.8,101986,135010.4,134259.5,26455.3,18102,97919.9,17731,8576.9,9402.5,12679.8,17134.4,20025.3,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,FALSE,887.316,72,85,496,38,724,83.2,5.03,1635.42,85,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen,enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",3326,ENSG00000096384.19,6,NRF2 pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,HSP90AB1,Estrogen signaling pathway; Pathways in cancer; PI3K-Akt signaling pathway; Prostate cancer; NOD-like receptor signaling pathway; Antigen processing and presentation; Protein processing in endoplasmic reticulum; Progesterone-mediated oocyte maturation,Sema3A PAK dependent Axon repulsion; HSF1 activation; Attenuation phase; Neutrophil degranulation; Aryl hydrocarbon receptor signalling; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The NLRP3 inflammasome; HSP90 chaperone cycle for steroid hormone receptors (SHR); The role of GTSE1 in G2/M progression after G2 checkpoint,42,66,69687.1,86358.3,98843.4,76871.2,87274.5,80696.1,69180.9,62013.3,41456,37512.8,66405.6,86358.3,86280.1,66801.6,56104.7,29749.9,19977.2,15438,6964.9,5564,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,FALSE,865.975,58,128,258,107,1960,226.4,5.6,939.82,128,cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity,"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094",4627,ENSG00000100345.20,22,Primary Focal Segmental Glomerulosclerosis FSGS; VEGFA-VEGFR2 Signaling Pathway,MYH9,Regulation of actin cytoskeleton; Tight junction; Salmonella infection,RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate CIT; RHO GTPases activate PKNs,23,25,49542.5,47435.2,48753.7,56000,39835,29508,23737.4,27277.1,23875.3,24092.6,47209.6,47435.2,42557,48664.4,25608.1,10878.6,6854.6,6790.5,4011.2,3573.5,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,FALSE,748.04,68,76,396,45,732,84.6,5.02,1340.13,76,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",3320,ENSG00000080824.18,14,Nucleotide-binding Oligomerization Domain (NOD) pathway; TNF alpha Signaling Pathway; Corticotropin-releasing hormone signaling pathway; Aryl Hydrocarbon Receptor; EBV LMP1 signaling; Aryl Hydrocarbon Receptor Pathway; Constitutive Androstane Receptor Pathway; NRF2 pathway; VEGFA-VEGFR2 Signaling Pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,HSP90AA1,NOD-like receptor signaling pathway; Estrogen signaling pathway; Pathways in cancer; PI3K-Akt signaling pathway; Prostate cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; Progesterone-mediated oocyte maturation,"Sema3A PAK dependent Axon repulsion; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Loss of Nlp from mitotic centrosomes; Scavenging by Class F Receptors; Neutrophil degranulation; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); vRNP Assembly; Downregulation of ERBB2 signaling; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Constitutive Signaling by EGFRvIII; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; Recruitment of mitotic centrosome proteins and complexes; HSF1 activation; Attenuation phase; eNOS activation; Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants; VEGFR2 mediated vascular permeability; PIWI-interacting RNA (piRNA) biogenesis; Interleukin-4 and 13 signaling",86,6,33423,38323.9,46205,35311.6,40689,39070.6,33144.3,27398.4,15537.6,14395,31849.2,38323.9,40332.2,30686.1,26157.1,14404,9571,6820.7,2610.4,2135.1,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,FALSE,715.641,56,115,196,104,2647,280.6,6.06,709.17,115,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,protein binding;RNA binding;signal transducer activity,"Pf00307, Pf00630",2316,ENSG00000196924.14,X,Androgen receptor signaling pathway; Prolactin Signaling Pathway; Focal Adhesion; Hypothesized Pathways in Pathogenesis of Cardiovascular Disease; MAPK Signaling Pathway; IL-4 Signaling Pathway,FLNA,Proteoglycans in cancer; MAPK signaling pathway; Focal adhesion; Salmonella infection,Platelet degranulation ; RHO GTPases activate PAKs; Cell-extracellular matrix interactions; GP1b-IX-V activation signalling,22,12,34005.6,35547,36454.2,35301.2,40269.9,35246.7,27137.2,24155,18437.3,19059.3,32404.3,35547,31820.8,30677,25887.7,12994.3,7836.3,6013.3,3097.6,2827,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,0,FALSE,695.684,74,82,306,81,858,95.3,6.83,1010.27,82,cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen;ribosome,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00009, Pf00679, Pf03144, Pf03764, Pf14492",1938,ENSG00000167658.15,19,Translation Factors; AMP-activated Protein Kinase (AMPK) Signaling; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway,EEF2,Oxytocin signaling pathway; AMPK signaling pathway,Peptide chain elongation; Protein methylation; Synthesis of diphthamide-EEF2; Neutrophil degranulation; Uptake and function of diphtheria toxin,20,1,57445.5,66161.1,74472.6,70369.1,79839.4,93468.5,78690.3,56457.9,31626,34551.8,54740.4,66161.1,65006.9,61151.2,51325.1,34458.7,22723.2,14055,5313.4,5124.9,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,FALSE,689.742,71,81,263,45,911,104.8,5.44,972.77,81,cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen,DNA binding;metal ion binding;protein binding;RNA binding,"Pf00307, Pf00435, Pf08726, Pf11971, Pf13499",81,ENSG00000282844.1; ENSG00000130402.11,19; CHR_HG26_PATCH,Arrhythmogenic Right Ventricular Cardiomyopathy; Primary Focal Segmental Glomerulosclerosis FSGS; Striated Muscle Contraction,ACTN4,Adherens junction; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Amoebiasis; Leukocyte transendothelial migration; Focal adhesion; Systemic lupus erythematosus; Viral carcinogenesis; Regulation of actin cytoskeleton; Tight junction,Platelet degranulation ; Nephrin family interactions,18,48,38081.4,36166.9,39448.3,39177.2,44338.6,55424.4,74781.3,79487.5,22585.3,22711,36288.2,36166.9,34434.3,34045.3,28503.2,20433.1,21594.4,19788.2,3794.5,3368.6,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,0,FALSE,684.858,39,155,236,155,4128,468.8,7.12,731.03,155,cell death;cell differentiation;cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus,cytosol;membrane;nucleus,catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding,"Pf00454, Pf02259, Pf02260, Pf08163",5591,ENSG00000253729.7,8,miRNA Regulation of DNA Damage Response; Cell Cycle; Retinoblastoma (RB) in Cancer; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Pathways Affected in Adenoid Cystic Carcinoma; ATM Signaling Network in Development and Disease; Non-homologous end joining; DNA Damage Response,PRKDC,Cell cycle; Non-homologous end-joining,Nonhomologous End-Joining (NHEJ); E3 ubiquitin ligases ubiquitinate target proteins; IRF3-mediated induction of type I IFN,22,0,54839.5,58098.9,52939.7,40886,29033.9,26588,27872.6,28482.2,27512.5,28399.3,52257.2,58098.9,46210.9,35530.2,18664.5,9802.1,8048.7,7090.6,4622.3,4212.3,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,FALSE,675.149,98,59,380,54,434,47.1,7.39,1341.51,59,metabolic process;regulation of biological process;response to stimulus,cell surface;cytoplasm;cytosol;membrane;nucleus,catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding,"Pf00113, Pf03952, Pf13378",2023,ENSG00000074800.13,1,Glycolysis and Gluconeogenesis,ENO1,RNA degradation; HIF-1 signaling pathway; Metabolic pathways; Glycolysis / Gluconeogenesis; Biosynthesis of amino acids; Carbon metabolism,Gluconeogenesis; Glycolysis,12,8,54697.9,53870.6,73056,59867.5,71144.1,89460.9,141993.2,124816.7,131139.4,57187.6,52122.3,53870.6,63770.3,52025.3,45735.3,32981.3,41003,31072.8,22032.3,8482.3,High,High,High,High,High,High,High,High,High,High,1,
